AnimalBreed,AnimalDesexed,AnimalGender,locality
Siberian Husky,Y,F,NORTH HAVEN
Siberian Husky,Y,M,NORTH HAVEN
Shetland Sheepdog (Sheltie),Y,F,NORTH HAVEN
Fox Terrier,Y,F,NORTH HAVEN
Maltese X,Y,F,NORTH HAVEN
Pug,N,M,NORTH HAVEN
German Shepherd,Y,M,NORTH HAVEN
Labrador,Y,F,NORTH HAVEN
Shetland Sheepdog (Sheltie),Y,M,NORTH HAVEN
Shetland Sheepdog (Sheltie),Y,M,NORTH HAVEN
German Shepherd,Y,M,NORTH HAVEN
Maltese X,Y,M,NORTH HAVEN
Greyhound,Y,M,NORTH HAVEN
Border Collie X,N,F,NORTH HAVEN
Labrador,Y,M,NORTH HAVEN
Labrador,Y,F,NORTH HAVEN
Staffordshire Bull Terrier,Y,F,NORTH HAVEN
American Staffordshire Bull Terrier,Y,F,NORTH HAVEN
Jack Russell Terrier X,Y,F,NORTH HAVEN
Jack Russell Terrier X,Y,F,NORTH HAVEN
Pomeranian X,Y,M,NORTH HAVEN
Cocker Spaniel,Y,M,NORTH HAVEN
Maltese X,Y,F,NORTH HAVEN
Bull Terrier,Y,M,NORTH HAVEN
Maltese X,Y,F,NORTH HAVEN
Maltese X,Y,F,NORTH HAVEN
Shar Pei,Y,F,NORTH HAVEN
Silky Terrier X,Y,M,NORTH HAVEN
Basenji X,Y,M,NORTH HAVEN
Groodle,N,M,NORTH HAVEN
Groodle,Y,F,NORTH HAVEN
Moodle,Y,M,NORTH HAVEN
German Shorthaired Pointer,Y,F,NORTH HAVEN
Rottweiler X,Y,F,NORTH HAVEN
German Shepherd X,Y,M,NORTH HAVEN
Staffordshire Bull Terrier X,Y,F,NORTH HAVEN
Fox Terrier,Y,F,NORTH HAVEN
Cavalier King Charles Spaniel,Y,M,NORTH HAVEN
Cavalier King Charles Spaniel,Y,F,NORTH HAVEN
Staffordshire Bull Terrier X,N,F,NORTH HAVEN
German Shepherd X,N,F,NORTH HAVEN
Alaskan Malamute,N,M,NORTH HAVEN
Pug X,N,M,NORTH HAVEN
Maltese X,Y,F,NORTH HAVEN
Maltese X,Y,F,NORTH HAVEN
Poodle - Miniature,Y,M,NORTH HAVEN
Poodle - Toy,Y,M,NORTH HAVEN
English Staffordshire Bull Terrier,N,M,NORTH HAVEN
Spoodle,Y,M,NORTH HAVEN
German Shepherd,N,M,NORTH HAVEN
Maltese Terrier X,N,M,NORTH HAVEN
English Staffordshire Bull Terrier,N,M,NORTH HAVEN
German Shepherd X,Y,F,NORTH HAVEN
Kelpie X,Y,F,NORTH HAVEN
Maltese X,Y,M,NORTH HAVEN
Blue Heeler X,Y,M,MANSFIELD PARK
Greyhound,N,M,MANSFIELD PARK
Pinscher - Miniature,Y,F,PORT ADELAIDE
Maltese X,Y,F,LARGS NORTH
Labrador X,Y,F,LARGS NORTH
Maltese X,Y,F,LARGS NORTH
Cross Breed,Y,F,CLEARVIEW
Kelpie X,Y,F,CROYDON PARK
Boxer X,Y,M,SEMAPHORE
Terrier X,Y,M,ALBERTON
Japanese Spitz,Y,M,ALBERTON
Cavalier King Charles Spaniel X,Y,F,ETHELTON
Cavalier King Charles Spaniel,N,F,ETHELTON
American Staffordshire Bull Terrier,N,M,ETHELTON
Kelpie X,Y,M,TAPEROO
Pit Bull Terrier,N,F,GILLES PLAINS
Belgian Shepherd,N,M,GILLES PLAINS
Fox Terrier - Miniature,Y,F,GILLES PLAINS
Staffordshire Bull Terrier X,N,F,GILLES PLAINS
Beagle,Y,M,OAKDEN
Beagle,Y,F,OAKDEN
Shar Pei,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Pomeranian,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Cavalier King Charles Spaniel,Y,M,OAKDEN
Labradoodle,Y,M,OAKDEN
German Shepherd X,Y,F,OAKDEN
English Springer Spaniel,Y,M,OAKDEN
Cavalier King Charles Spaniel X,Y,M,OAKDEN
German Shepherd,N,M,OAKDEN
Maltese X,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Jack Russell Terrier,Y,F,OAKDEN
Poodle X,Y,M,OAKDEN
Poodle - Toy,Y,M,OAKDEN
Beagle X,Y,F,OAKDEN
Schnoodle,Y,M,BROADVIEW
Corgi X,Y,M,PETERHEAD
Afghan,N,F,QUEENSTOWN
Dalmation,Y,F,QUEENSTOWN
Afghan,N,M,QUEENSTOWN
Terrier X,Y,F,SEFTON PARK
Terrier X,Y,M,SEFTON PARK
Maltese X,Y,F,SEFTON PARK
Maltese Terrier,N,F,LARGS BAY
Papillion X,Y,M,MANNINGHAM
Moodle,Y,F,SEMAPHORE
Dogue de Bordeaux,N,M,SEMAPHORE
Beagle,Y,F,OAKDEN
Beagle,Y,F,OAKDEN
Siberian Husky,Y,F,OAKDEN
Beagle,Y,M,OAKDEN
Beagle X,Y,F,HILLCREST
Maltese X,Y,M,HILLCREST
Staffordshire Bull Terrier,Y,F,EXETER
Jack Russell Terrier,N,M,WINDSOR GARDENS
Fox Terrier X,N,F,WINDSOR GARDENS
Rottweiler X,Y,F,WINDSOR GARDENS
Fox Terrier,Y,F,WINDSOR GARDENS
Rhodesian Ridgeback,Y,F,WINDSOR GARDENS
Groodle,N,F,OAKDEN
Chihuahua X,Y,F,OAKDEN
Pomeranian X,Y,M,OAKDEN
Poodle,Y,M,OAKDEN
Australian Shepherd,Y,M,GILLMAN
Papillion X,Y,F,OAKDEN
Golden Retriever,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Siberian Husky,Y,F,OAKDEN
Maltese X,N,F,OAKDEN
Chihuahua X,Y,M,OAKDEN
Maltese,Y,F,OAKDEN
Shetland Sheepdog (Sheltie),Y,M,OAKDEN
Shetland Sheepdog (Sheltie),Y,M,OAKDEN
Rottweiler X,Y,F,OAKDEN
Silky Terrier X,Y,M,KLEMZIG
Shih Tzu X,Y,F,KLEMZIG
Border Collie X,Y,M,GREENACRES
Jack Russell Terrier,Y,M,GREENACRES
Jack Russell Terrier,Y,M,NORTH HAVEN
Greyhound,Y,F,NORTH HAVEN
German Shepherd,N,M,GREENACRES
Maltese,N,F,BROADVIEW
Blue Heeler,Y,F,LARGS BAY
American Staffordshire Bull Terrier X,Y,F,TAPEROO
Cavalier King Charles Spaniel,Y,M,GREENACRES
Schnauzer,Y,F,OAKDEN
Staffordshire Bull Terrier,Y,M,BIRKENHEAD
Belgian Shepherd,N,M,TAPEROO
Chihuahua X,N,F,OTTOWAY
Maltese X,Y,M,PETERHEAD
Labrador,Y,M,ETHELTON
Moodle,Y,F,ETHELTON
Maltese X,Y,F,ETHELTON
Terrier X,Y,F,ETHELTON
Pomeranian,Y,M,ETHELTON
Fox Terrier,N,M,OTTOWAY
American Staffordshire Bull Terrier X,Y,M,OAKDEN
Spoodle,Y,F,OAKDEN
Maltese,Y,M,HILLCREST
American Staffordshire Bull Terrier X,Y,M,LARGS NORTH
American Staffordshire Bull Terrier,Y,F,LARGS NORTH
Collie X,Y,M,LARGS BAY
Spoodle,N,M,ENFIELD
Labrador,Y,F,ENFIELD
Greyhound X,Y,M,ENFIELD
Terrier X,N,F,ENFIELD
Fox Terrier X,N,F,ENFIELD
Maltese X,Y,F,ENFIELD
Maltese X,Y,F,ENFIELD
Maltese X,Y,F,ENFIELD
Pomeranian X,Y,F,ENFIELD
Tenterfield Terrier,Y,M,ENFIELD
Jack Russell Terrier,Y,F,ENFIELD
Poodle,Y,U,ENFIELD
Poodle - Miniature,Y,F,ENFIELD
Schipperke,N,M,ENFIELD
Pomeranian X,Y,M,ENFIELD
Maltese Terrier,Y,M,ENFIELD
Border Collie X,N,M,ENFIELD
Poodle - Miniature,Y,M,ENFIELD
Shih Tzu X,Y,M,ENFIELD
Chihuahua X,Y,F,ENFIELD
Maltese X,N,M,ENFIELD
Maltese X,N,M,ENFIELD
Pomeranian,Y,F,ENFIELD
Pomeranian,Y,F,ENFIELD
Australian Terrier,Y,F,ENFIELD
Greyhound,Y,F,ENFIELD
Greyhound,Y,M,ENFIELD
Poodle X,Y,M,ENFIELD
Shih Tzu,Y,F,ENFIELD
Pug X,Y,F,ENFIELD
Pomeranian X,Y,M,ENFIELD
Chihuahua,Y,F,ENFIELD
Chihuahua,N,F,ENFIELD
Maltese X,N,M,ENFIELD
Maltese Terrier,N,F,ENFIELD
Siberian Husky,Y,M,ENFIELD
Terrier X,Y,F,GREENACRES
Jack Russell Terrier X,Y,M,CROYDON PARK
German Shepherd,Y,F,OAKDEN
Rottweiler X,N,F,VALLEY VIEW
Maltese X,Y,F,NORTH HAVEN
Cocker Spaniel,Y,F,NORTH HAVEN
Silky Terrier,Y,M,NORTH HAVEN
Labradoodle,Y,M,PETERHEAD
Border Collie X,Y,F,PETERHEAD
Blue Heeler,Y,F,PETERHEAD
Airedale Terrier,Y,F,NORTH HAVEN
English Staffordshire Bull Terrier,Y,F,PETERHEAD
Pug,Y,F,PETERHEAD
Pomeranian,N,F,PETERHEAD
Labrador,Y,F,OAKDEN
Pomeranian,Y,F,CROYDON PARK
Great Dane,N,M,ROSEWATER
Labrador,Y,M,HILLCREST
Yorkshire Terrier X,Y,M,HILLCREST
Husky,N,F,HILLCREST
Border Collie,Y,M,HILLCREST
Poodle,Y,F,GILLES PLAINS
Shih Tzu,N,M,GILLES PLAINS
Maltese X,Y,F,OAKDEN
Rhodesian Ridgeback X,Y,M,NORTH HAVEN
Lhasa Apso X,Y,M,NORTH HAVEN
Maltese X,Y,F,NORTH HAVEN
Maltese Terrier X,Y,F,NORTH HAVEN
Poodle,Y,M,NORTH HAVEN
Maltese X,Y,M,KILBURN
Keeshond X,Y,F,HAMPSTEAD GARDENS
Lhasa Apso,Y,F,HAMPSTEAD GARDENS
Staffordshire Bull Terrier X,N,M,CROYDON PARK
Bull Terrier X,N,M,CROYDON PARK
Jack Russell Terrier X,Y,F,CROYDON PARK
Jack Russell Terrier X,Y,M,CROYDON PARK
Shih Tzu X,Y,F,ALBERTON
Poodle,Y,M,NORTH HAVEN
Maltese X,Y,M,HILLCREST
Maltese X,Y,M,HILLCREST
Tenterfield Terrier,Y,F,QUEENSTOWN
Tenterfield Terrier,Y,M,QUEENSTOWN
Maltese,Y,F,QUEENSTOWN
Staffordshire Bull Terrier,N,M,OTTOWAY
Bulldog,N,M,OTTOWAY
Maltese Terrier X,N,F,OTTOWAY
Chihuahua X,Y,F,QUEENSTOWN
Rhodesian Ridgeback,Y,F,QUEENSTOWN
Staffordshire Bull Terrier,N,M,QUEENSTOWN
Chihuahua,Y,F,QUEENSTOWN
Jack Russell Terrier X,Y,M,PORT ADELAIDE
Jack Russell Terrier X,Y,F,PORT ADELAIDE
Fox Terrier - Miniature,Y,F,PORT ADELAIDE
Chihuahua,Y,M,PORT ADELAIDE
Maltese X,N,M,PORT ADELAIDE
Chihuahua X,N,F,PORT ADELAIDE
Maltese X,Y,M,PORT ADELAIDE
Australian Terrier,Y,M,PORT ADELAIDE
Staffordshire Bull Terrier X,Y,F,PORT ADELAIDE
Kelpie X,N,F,PORT ADELAIDE
Jack Russell Terrier X,N,F,PORT ADELAIDE
Pug X,Y,F,PORT ADELAIDE
Staffordshire Bull Terrier,Y,M,PORT ADELAIDE
Staffordshire Bull Terrier X,Y,M,PORT ADELAIDE
Red Heeler X,Y,F,PORT ADELAIDE
Poodle X,Y,F,PORT ADELAIDE
Poodle,N,M,PORT ADELAIDE
Jack Russell Terrier X,N,M,PORT ADELAIDE
Chihuahua X,Y,M,OSBORNE
Blue Heeler X,Y,F,TAPEROO
Collie X,Y,F,TAPEROO
Maltese X,Y,F,TAPEROO
Border Collie X,Y,F,TAPEROO
Maltese X,N,M,TAPEROO
Jack Russell Terrier X,Y,F,TAPEROO
Maltese X,Y,F,EXETER
Chihuahua X,Y,F,EXETER
Fox Terrier X - Miniature,Y,F,EXETER
Kelpie X,Y,M,MANSFIELD PARK
Moodle,Y,F,MANSFIELD PARK
Jack Russell Terrier,Y,M,MANSFIELD PARK
Maltese X,Y,M,MANSFIELD PARK
Cocker Spaniel,Y,M,MANSFIELD PARK
Maltese X,Y,F,MANSFIELD PARK
Chihuahua X,Y,F,MANSFIELD PARK
Chihuahua,Y,M,MANSFIELD PARK
Fox Terrier X,Y,F,KILBURN
Chihuahua X,N,F,KILBURN
Jack Russell Terrier X,N,F,OTTOWAY
German Shepherd,Y,F,WINDSOR GARDENS
Kelpie,Y,M,NORTH HAVEN
Terrier,N,M,BROADVIEW
Cavalier King Charles Spaniel X,Y,F,GLANVILLE
American Staffordshire Bull Terrier,Y,M,SEMAPHORE SOUTH
Poodle X - Toy,Y,F,KILBURN
Poodle X,N,M,KILBURN
Fox Terrier X,Y,F,LARGS BAY
Dachshund - Miniature,N,M,OAKDEN
Maltese,Y,F,HILLCREST
Maltese,Y,F,HILLCREST
Shih Tzu X,Y,M,HILLCREST
Great Dane,N,M,HILLCREST
Australian Bulldog,Y,M,HILLCREST
Shepherd X,Y,M,HILLCREST
Shar Pei,N,M,HILLCREST
Maltese X,Y,M,HILLCREST
Kelpie X,Y,M,HILLCREST
Golden Retriever,Y,M,HILLCREST
Pug X,Y,M,HILLCREST
Schnoodle,Y,M,HILLCREST
Beagle,Y,F,HILLCREST
Tenterfield Terrier,Y,F,HILLCREST
Australian Terrier,Y,M,HILLCREST
Maltese Terrier X,Y,F,HILLCREST
Lhasa Apso,Y,M,MANSFIELD PARK
Maltese Terrier X,Y,F,OAKDEN
Maltese Terrier X,Y,F,OAKDEN
Maltese X,Y,F,CROYDON PARK
Chihuahua X,Y,F,CROYDON PARK
Maltese X,Y,F,NORTH HAVEN
Fox Terrier X,Y,M,HAMPSTEAD GARDENS
Golden Retriever X,Y,M,SEMAPHORE
Maltese X,Y,F,OSBORNE
Whippet,N,F,OSBORNE
Moodle,Y,F,OSBORNE
Fox Terrier X - Miniature,Y,M,OSBORNE
Tibetan Spaniel X,Y,M,OSBORNE
German Shepherd,N,F,SEFTON PARK
Spoodle,Y,M,SEFTON PARK
American Staffordshire Bull Terrier,Y,M,PORT ADELAIDE
American Staffordshire Bull Terrier,N,F,PORT ADELAIDE
Cavoodle,Y,F,PORT ADELAIDE
Poodle X - Toy,Y,F,PORT ADELAIDE
Shih Tzu X,Y,M,PORT ADELAIDE
Rhodesian Ridgeback X,Y,M,PORT ADELAIDE
Schnauzer,Y,F,PORT ADELAIDE
Maltese X,Y,M,PORT ADELAIDE
Borzoi,N,M,PORT ADELAIDE
Pomeranian X,Y,F,PORT ADELAIDE
Shih Tzu X,Y,F,PORT ADELAIDE
Jack Russell Terrier X,Y,F,PORT ADELAIDE
Cavoodle,Y,F,PORT ADELAIDE
Border Collie,Y,F,PORT ADELAIDE
Maltese X,Y,F,PORT ADELAIDE
Maltese X,Y,U,PORT ADELAIDE
Labrador,Y,F,PORT ADELAIDE
Beagle X,Y,F,PORT ADELAIDE
Staffordshire Bull Terrier X,Y,M,PORT ADELAIDE
Chihuahua,Y,M,PORT ADELAIDE
Cavoodle,Y,M,PORT ADELAIDE
German Shepherd,Y,F,PORT ADELAIDE
Staffordshire Bull Terrier X,N,M,OTTOWAY
Rottweiler,Y,M,HILLCREST
Staffordshire Bull Terrier X,Y,M,HILLCREST
Bichon Frise X,Y,M,KILBURN
Pug,Y,M,OAKDEN
Shih Tzu,Y,M,OAKDEN
Pointer X,Y,M,OAKDEN
Cocker Spaniel,Y,M,OAKDEN
Kelpie X,Y,M,OAKDEN
Labrador X,Y,F,OAKDEN
Shih Tzu,Y,F,OAKDEN
Maltese X,Y,M,OAKDEN
Labrador,Y,F,OAKDEN
American Staffordshire Bull Terrier,N,F,OAKDEN
American Staffordshire Bull Terrier,Y,F,PORT ADELAIDE
Maltese X,Y,M,EXETER
Fox Terrier X,N,M,BIRKENHEAD
Dalmation,Y,M,BIRKENHEAD
Cavalier King Charles Spaniel X,Y,F,HILLCREST
Pug X,Y,F,HILLCREST
Hungarian Viszla,N,M,HILLCREST
Rottweiler,Y,M,HILLCREST
Maltese,Y,F,HILLCREST
Labrador,Y,M,HILLCREST
Rottweiler,Y,M,HILLCREST
Labrador,N,F,WINGFIELD
Jack Russell Terrier,Y,M,WINGFIELD
Poodle - Toy,Y,M,WINDSOR GARDENS
Spoodle X,Y,M,OAKDEN
Spoodle X,Y,M,OAKDEN
Chinese Crested,Y,M,OAKDEN
Fox Terrier - Miniature,Y,M,OAKDEN
Chihuahua X,Y,F,OAKDEN
Labrador,Y,F,OAKDEN
Beagle,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Pomeranian,Y,M,OAKDEN
Chihuahua - Long Haired,Y,M,OAKDEN
Jack Russell Terrier X,Y,M,OAKDEN
Maltese Terrier X,Y,F,OAKDEN
Beagle,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Jack Russell Terrier,Y,M,OAKDEN
Pomeranian,Y,M,OAKDEN
Dachshund - Miniature,Y,F,OAKDEN
Maltese X,Y,M,OAKDEN
Staffordshire Bull Terrier X,Y,F,OAKDEN
Kelpie X,Y,F,OAKDEN
Beagle,Y,M,OAKDEN
Beagle X,Y,M,OAKDEN
Beagle,Y,F,OAKDEN
Bichon Frise,Y,F,OAKDEN
Schnauzer - Miniature,Y,M,HILLCREST
Golden Retriever,Y,M,HILLCREST
Maltese X,Y,M,HILLCREST
Maltese X,Y,F,HILLCREST
Red Heeler X,Y,F,HILLCREST
Spoodle,Y,M,HILLCREST
Maltese Terrier X,Y,M,HILLCREST
Staffordshire Bull Terrier X,Y,F,HILLCREST
Chihuahua X,N,M,HILLCREST
Spoodle,Y,F,HILLCREST
Dachshund,Y,F,HILLCREST
Maltese X,Y,M,HILLCREST
Maltalier,Y,F,PORT ADELAIDE
Staffordshire Bull Terrier X,N,M,BIRKENHEAD
Beagle,Y,F,VALLEY VIEW
Chihuahua,N,M,WOODVILLE GARDENS
Boxer X,Y,M,BIRKENHEAD
Cross Breed,N,U,PORT ADELAIDE
Labrador,Y,F,PORT ADELAIDE
Tenterfield Terrier,Y,F,PORT ADELAIDE
Chihuahua X,N,F,PORT ADELAIDE
Kelpie X,Y,F,PORT ADELAIDE
Pomeranian X,Y,M,PORT ADELAIDE
Chihuahua X,Y,F,PORT ADELAIDE
Fox Terrier X,Y,F,PORT ADELAIDE
Border Collie,Y,F,PORT ADELAIDE
Terrier X,Y,F,PORT ADELAIDE
Chihuahua,Y,F,PORT ADELAIDE
Terrier X,Y,F,PORT ADELAIDE
Shih Tzu X,Y,M,PORT ADELAIDE
Maltese X,Y,F,PORT ADELAIDE
Norwegian Elk Hound,Y,F,LARGS BAY
Shih Tzu X,Y,M,WINGFIELD
Shih Tzu X,Y,M,WINGFIELD
Chihuahua X,Y,M,BROADVIEW
Jack Russell Terrier X,Y,F,BROADVIEW
Blue Heeler,N,M,OTTOWAY
Maltese,Y,F,NORTH HAVEN
Maltese X,N,M,NORTH HAVEN
Jack Russell Terrier,Y,M,NORTH HAVEN
Cavalier King Charles Spaniel,Y,M,NORTH HAVEN
Cavalier King Charles Spaniel,Y,F,NORTH HAVEN
Cocker Spaniel,Y,F,NORTH HAVEN
Jack Russell Terrier X,Y,M,NORTH HAVEN
American Staffordshire Bull Terrier X,Y,M,QUEENSTOWN
Rottweiler X,Y,F,QUEENSTOWN
Chihuahua - Long Haired,Y,M,QUEENSTOWN
American Staffordshire Bull Terrier X,Y,F,QUEENSTOWN
Jack Russell Terrier X,Y,F,NORTH HAVEN
American Staffordshire Bull Terrier X,Y,F,WINGFIELD
English Staffordshire Bull Terrier,Y,M,HILLCREST
Labrador,Y,M,HILLCREST
German Shepherd X,Y,F,HILLCREST
Maltese X,Y,M,HILLCREST
German Shepherd X,Y,F,HILLCREST
West Highland Terrier,Y,F,OTTOWAY
American Bulldog,N,M,OTTOWAY
Maltese X,Y,F,HILLCREST
Maltese X,Y,M,HILLCREST
Maltese X,N,F,HILLCREST
Labrador X,N,M,PORT ADELAIDE
Rhodesian Ridgeback X,Y,F,SEMAPHORE
Kelpie X,Y,M,SEMAPHORE
Labrador X,Y,F,HILLCREST
Schnauzer X - Miniature,Y,M,HILLCREST
Terrier X,Y,M,HILLCREST
Labrador X,Y,F,OTTOWAY
Siberian Husky X,Y,F,OTTOWAY
Fox Terrier X - Miniature,N,M,OAKDEN
Cavoodle,N,F,OAKDEN
Beagle,Y,F,OAKDEN
Akita,Y,F,OAKDEN
Maltese Terrier X,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Maltese X,N,F,OAKDEN
Bichon Frise,Y,M,OAKDEN
Border Collie X,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
German Shepherd X,N,M,OAKDEN
Maltese X,Y,F,OAKDEN
Maltese X,N,M,OAKDEN
Shih Tzu X,Y,M,OAKDEN
Labradoodle,Y,M,OAKDEN
Greyhound,Y,F,OAKDEN
Labrador X,Y,F,OAKDEN
Pomeranian - Miniature,N,F,OAKDEN
Shih Tzu,Y,M,OAKDEN
Jack Russell Terrier X,N,F,OAKDEN
Shih Tzu X,Y,M,OAKDEN
Chihuahua X,Y,M,OAKDEN
Labrador,Y,F,OAKDEN
Maltese Terrier X,Y,F,OAKDEN
Australian Terrier,N,M,OAKDEN
Cocker Spaniel X,Y,M,OAKDEN
Kelpie,Y,F,SEMAPHORE
Maltese X,Y,F,SEMAPHORE
Maltese X,Y,F,LARGS NORTH
Beagle X,Y,F,LARGS NORTH
Labrador,Y,M,LARGS NORTH
Beagle,Y,M,OAKDEN
Golden Retriever,Y,M,OAKDEN
Shiba Inu,Y,M,NORTH HAVEN
Jack Russell Terrier,N,U,NORTH HAVEN
Labrador X,Y,F,NORTH HAVEN
Spoodle,Y,M,PORT ADELAIDE
Shih Tzu X,Y,F,PORT ADELAIDE
German Spitz,Y,M,PORT ADELAIDE
Spoodle,Y,M,PORT ADELAIDE
Jack Russell Terrier X,N,M,PORT ADELAIDE
Terrier X,Y,F,PORT ADELAIDE
Maltese X,Y,F,PORT ADELAIDE
Staffordshire Bull Terrier X,Y,F,PORT ADELAIDE
Maltese X,Y,M,PORT ADELAIDE
Heeler X,Y,F,PORT ADELAIDE
Red Heeler,Y,M,PORT ADELAIDE
Greyhound X,Y,F,PORT ADELAIDE
Shar Pei X,Y,M,PORT ADELAIDE
Spoodle,Y,F,PORT ADELAIDE
Poodle - Miniature,Y,M,PORT ADELAIDE
Staffordshire Bull Terrier X,Y,M,PORT ADELAIDE
German Shepherd,Y,F,PORT ADELAIDE
Cavalier King Charles Spaniel,Y,F,PORT ADELAIDE
Cavalier King Charles Spaniel,Y,F,PORT ADELAIDE
Beagle,Y,F,PORT ADELAIDE
Staffordshire Bull Terrier X,Y,M,PORT ADELAIDE
Beagle X,Y,F,PORT ADELAIDE
Labrador X,Y,F,PORT ADELAIDE
Labrador,N,M,PORT ADELAIDE
Border Collie X,Y,F,PORT ADELAIDE
Keeshond,Y,F,PORT ADELAIDE
Cross Breed,Y,M,LARGS BAY
Terrier X,Y,F,KLEMZIG
English Staffordshire Bull Terrier,N,F,HILLCREST
Pomeranian X,Y,M,HILLCREST
Poodle X,Y,M,HILLCREST
Staffordshire Bull Terrier,Y,M,HILLCREST
Labrador,Y,M,HILLCREST
Maltese X,Y,M,HILLCREST
Tibetan Spaniel X,Y,M,HILLCREST
Griffon Bruxellois X,Y,M,HILLCREST
Shih Tzu X,Y,M,HILLCREST
Labrador,Y,M,HILLCREST
Pug,Y,F,HILLCREST
Maltese X,Y,M,HILLCREST
Silky Terrier,Y,F,HILLCREST
Jack Russell Terrier X,Y,M,ENFIELD
Jack Russell Terrier X,Y,F,ENFIELD
Chihuahua X,Y,M,OAKDEN
German Shepherd,N,M,HILLCREST
Chihuahua,Y,M,HILLCREST
Boxer,Y,M,HILLCREST
Shih Tzu X,Y,F,ALBERTON
Pomeranian X,Y,M,ALBERTON
American Staffordshire Bull Terrier,Y,F,ALBERTON
Red Heeler X,Y,F,ALBERTON
Maltese X,Y,F,BIRKENHEAD
Jack Russell Terrier,Y,F,HILLCREST
West Highland Terrier X,Y,M,HILLCREST
Chihuahua,N,F,CROYDON PARK
Maltese X,Y,F,HILLCREST
Cattle Dog X,Y,F,HILLCREST
Jack Russell Terrier X,Y,F,HILLCREST
Poodle X,Y,M,HILLCREST
Pug X,Y,F,ETHELTON
Cavalier King Charles Spaniel X,Y,M,ETHELTON
Chihuahua,Y,F,HILLCREST
Chihuahua X,Y,M,HILLCREST
Maltese X,N,M,HILLCREST
Poodle X,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Red Heeler X,Y,M,OAKDEN
Australian Terrier,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Golden Retriever,N,M,OAKDEN
Alaskan Malamute,Y,F,OAKDEN
Labrador,Y,F,OAKDEN
Jack Russell Terrier,Y,M,OAKDEN
Golden Retriever,Y,U,OAKDEN
Maltese X,Y,M,KLEMZIG
Hungarian Viszla,Y,M,KLEMZIG
Wolfhound X,Y,M,OAKDEN
Staffordshire Bull Terrier,Y,F,OAKDEN
Maltese X,N,M,OAKDEN
Labrador,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
British Bulldog,Y,M,OAKDEN
Maltese,Y,F,OAKDEN
Poodle - Miniature,Y,M,OAKDEN
Cavalier King Charles Spaniel,Y,M,OAKDEN
Border Collie,Y,M,OAKDEN
Border Collie,Y,M,OAKDEN
Staffordshire Bull Terrier X,N,F,DEVON PARK
Chihuahua,Y,F,DEVON PARK
Poodle X,Y,F,SEMAPHORE
Cavoodle,Y,M,NORTH HAVEN
West Highland Terrier X,Y,M,KLEMZIG
West Highland Terrier,Y,F,KLEMZIG
Maltese X,Y,M,OAKDEN
Keeshond,Y,F,OAKDEN
Kelpie X,Y,F,OAKDEN
Beagle,Y,M,OAKDEN
Rhodesian Ridgeback,Y,M,OAKDEN
Silky Terrier,N,F,OAKDEN
Silky Terrier,N,F,OAKDEN
Silky Terrier,N,F,OAKDEN
Silky Terrier,Y,M,OAKDEN
Poodle - Miniature,Y,M,OAKDEN
Fox Terrier X,Y,M,OAKDEN
Maltese X,Y,F,HILLCREST
Cavalier King Charles Spaniel,Y,M,HILLCREST
Beagle,Y,F,HILLCREST
Doberman,N,M,BLAIR ATHOL
Maltese X,N,M,KLEMZIG
Border Collie X,Y,F,KLEMZIG
Schnauzer X - Miniature,N,M,KLEMZIG
Labrador X,Y,F,KLEMZIG
Terrier X,Y,M,KLEMZIG
Boxer,Y,F,KLEMZIG
Cavalier King Charles Spaniel X,Y,M,EXETER
Cavoodle,Y,M,EXETER
Labrador,Y,F,EXETER
Cavalier King Charles Spaniel,Y,M,EXETER
Corgi,N,F,EXETER
German Shorthaired Pointer,Y,M,EXETER
Jack Russell Terrier,N,F,EXETER
Boxer,Y,M,EXETER
Maltalier,N,M,EXETER
Maltalier,N,M,EXETER
Terrier X,Y,M,TAPEROO
Jack Russell Terrier,Y,M,OAKDEN
Boxer,Y,M,NORTH HAVEN
Shih Tzu X,Y,M,TAPEROO
Jack Russell Terrier,Y,F,LARGS BAY
Jack Russell Terrier,Y,M,LARGS BAY
Golden Retriever,Y,M,HILLCREST
Shih Tzu,Y,M,HILLCREST
Border Collie,Y,F,HILLCREST
Pugalier,Y,M,BROADVIEW
Pug,Y,F,BROADVIEW
Kelpie X,Y,M,ROSEWATER
Jack Russell Terrier X,N,M,KLEMZIG
Staffordshire Bull Terrier,Y,F,PORT ADELAIDE
Brittany Spaniel,Y,F,PORT ADELAIDE
Chihuahua X,Y,F,NORTH HAVEN
Maltese X,Y,M,NORTH HAVEN
Maltese,Y,M,OTTOWAY
