AnimalBreed,AnimalDesexed,AnimalGender,locality
Whippet,Y,F,ENFIELD
Collie X,Y,M,ENFIELD
Border Collie,Y,M,ENFIELD
Border Collie,N,M,ENFIELD
Beagle,Y,F,ENFIELD
Maltese X,Y,F,ENFIELD
Labrador X,Y,F,ENFIELD
Labrador X,Y,F,ENFIELD
Pomeranian - Miniature,N,M,MANSFIELD PARK
Jack Russell Terrier,N,M,MANSFIELD PARK
Cavalier King Charles Spaniel,N,F,MANSFIELD PARK
Kelpie X,Y,F,MANSFIELD PARK
Maltese X,N,M,MANSFIELD PARK
Red Heeler X,N,M,NORTHFIELD
Staffordshire Bull Terrier,Y,F,NORTHFIELD
Maltese X,Y,M,CROYDON PARK
Labrador X,Y,F,CROYDON PARK
Chihuahua,N,M,CROYDON PARK
Jack Russell Terrier,Y,F,CROYDON PARK
Chihuahua,N,M,CROYDON PARK
Akita X,N,M,CROYDON PARK
Greyhound,Y,F,CLEARVIEW
Moodle,Y,M,CLEARVIEW
German Shepherd,Y,M,DRY CREEK
Tenterfield Terrier,Y,M,DRY CREEK
English Staffordshire Bull Terrier,N,M,DRY CREEK
Staffordshire Bull Terrier X,N,M,DRY CREEK
Chihuahua X,Y,F,KILBURN
Maltese X,Y,F,KILBURN
Maltese X,N,F,KILBURN
Chihuahua X,Y,M,KILBURN
Chihuahua,N,M,KILBURN
Maltese Terrier X,N,F,KILBURN
Maltese Terrier X,N,F,KILBURN
Boxer X,Y,M,KILBURN
Red Heeler X,N,F,KILBURN
Maltese X,Y,M,KILBURN
Chihuahua,N,F,KILBURN
Jack Russell Terrier,Y,F,KILBURN
Chihuahua,N,M,MANSFIELD PARK
Terrier,Y,M,MANSFIELD PARK
Schnauzer X - Miniature,Y,F,MANSFIELD PARK
Jack Russell Terrier,Y,M,MANSFIELD PARK
Silky Terrier,Y,F,MANSFIELD PARK
Jack Russell Terrier,Y,F,MANSFIELD PARK
Rottweiler,Y,F,ENFIELD
Maltese,Y,F,MANSFIELD PARK
Chihuahua X,Y,F,MANSFIELD PARK
Fox Terrier,Y,F,MANSFIELD PARK
Pomeranian X,Y,M,MANSFIELD PARK
Fox Terrier,N,M,MANSFIELD PARK
Pomeranian X,Y,F,MANSFIELD PARK
Maltese X,N,F,MANSFIELD PARK
Labrador,N,F,MANSFIELD PARK
Pomeranian,Y,M,MANSFIELD PARK
Cavoodle,Y,F,BLAIR ATHOL
Border Collie,N,M,BLAIR ATHOL
Corgi X,Y,F,BLAIR ATHOL
Dachshund,N,M,BLAIR ATHOL
Shih Tzu X,Y,M,BLAIR ATHOL
Jack Russell Terrier X,Y,M,BLAIR ATHOL
Shih Tzu X,Y,F,BLAIR ATHOL
Fox Terrier X,Y,F,BLAIR ATHOL
Silky Terrier,Y,M,NORTHFIELD
German Shepherd,Y,M,NORTHFIELD
Chihuahua,N,F,FERRYDEN PARK
German Shepherd X,N,M,FERRYDEN PARK
Siberian Husky,N,M,FERRYDEN PARK
Maltese X,N,M,FERRYDEN PARK
Jack Russell Terrier,Y,F,FERRYDEN PARK
Kelpie,Y,F,GREENACRES
Staffordshire Bull Terrier X,N,M,GREENACRES
Maltese X,N,M,GREENACRES
Maltese X,N,M,GREENACRES
Maltese X,Y,F,GREENACRES
Maltese X,N,F,KLEMZIG
Dachshund,Y,M,KLEMZIG
English Springer Spaniel,N,M,KLEMZIG
Chihuahua X,Y,M,ENFIELD
Kelpie X,Y,F,ENFIELD
Keeshond,Y,F,VALLEY VIEW
Kelpie X,Y,F,VALLEY VIEW
Shih Tzu X,Y,F,VALLEY VIEW
Saint Bernard X,Y,F,VALLEY VIEW
Maltese X,Y,F,VALLEY VIEW
Pomeranian X,Y,M,VALLEY VIEW
Fox Terrier - Miniature,Y,M,VALLEY VIEW
Maltese Terrier X,Y,F,BROADVIEW
Cocker Spaniel,Y,F,BROADVIEW
Blue Heeler,N,M,BROADVIEW
Border Collie,N,M,BROADVIEW
Kelpie X,Y,M,BROADVIEW
Kelpie X,Y,F,BROADVIEW
Cavalier King Charles Spaniel,Y,M,BROADVIEW
Golden Retriever,Y,F,CROYDON PARK
Maltese,N,F,CROYDON PARK
Maltese,N,F,CROYDON PARK
Maltese,N,M,CROYDON PARK
Chihuahua,N,M,CLEARVIEW
Staffordshire Bull Terrier,Y,M,CLEARVIEW
Fox Terrier,Y,F,CLEARVIEW
Jack Russell Terrier,N,M,CLEARVIEW
Cavoodle,Y,M,ENFIELD
German Shorthaired Pointer,Y,F,ENFIELD
German Shorthaired Pointer,Y,F,ENFIELD
Silky Terrier X,Y,F,ENFIELD
Staffordshire Bull Terrier,Y,F,ENFIELD
German Shepherd,N,M,ENFIELD
Kelpie X,Y,M,ENFIELD
American Staffordshire Bull Terrier X,Y,M,ENFIELD
Terrier X,Y,M,ENFIELD
Corgi X,Y,F,ENFIELD
Maltese Terrier X,Y,M,ENFIELD
Bull Terrier X,N,M,ENFIELD
Staffordshire Bull Terrier X,Y,F,WOODVILLE GARDENS
Tenterfield Terrier,Y,F,WOODVILLE GARDENS
American Staffordshire Bull Terrier,N,M,NORTHFIELD
Labrador X,N,M,BROADVIEW
Alaskan Malamute X,Y,F,BROADVIEW
Heeler X,Y,F,BROADVIEW
English Mastiff X,N,M,BROADVIEW
Neapolitan Mastiff X,N,F,BROADVIEW
American Staffordshire Bull Terrier X,Y,F,BROADVIEW
Terrier,Y,M,WINDSOR GARDENS
Briard,N,F,WINDSOR GARDENS
Jack Russell Terrier X,N,F,WINDSOR GARDENS
American Staffordshire Bull Terrier X,N,F,CROYDON PARK
American Staffordshire Bull Terrier,N,M,CROYDON PARK
Spoodle,Y,F,KLEMZIG
Spoodle,Y,M,KLEMZIG
Pugalier,Y,M,KLEMZIG
Moodle,Y,F,KLEMZIG
Old English Sheepdog,N,M,KLEMZIG
Heeler X,Y,M,KLEMZIG
Maltese X,Y,M,KLEMZIG
Cavalier King Charles Spaniel,Y,F,KLEMZIG
Cocker Spaniel,Y,M,KLEMZIG
German Shorthaired Pointer,Y,M,KLEMZIG
German Shepherd,Y,F,KLEMZIG
Pugalier,Y,M,KLEMZIG
Greyhound,Y,M,BROADVIEW
Maltese X,N,F,BROADVIEW
American Staffordshire Bull Terrier,Y,M,BROADVIEW
Chihuahua X,Y,F,BROADVIEW
West Highland Terrier,Y,M,WINDSOR GARDENS
Schnauzer X - Miniature,N,F,WINDSOR GARDENS
Cross Breed,N,F,WINDSOR GARDENS
Retriever,Y,F,WINDSOR GARDENS
Retriever X,Y,F,WINDSOR GARDENS
Chow Chow,Y,F,WINDSOR GARDENS
Papillion X,Y,F,WINGFIELD
Corgi X,Y,M,WINGFIELD
Border Collie,Y,M,WINGFIELD
Bull Terrier,Y,F,WINGFIELD
Maltese,Y,F,WINGFIELD
Basset Hound,N,M,VALLEY VIEW
Basset Hound,N,M,VALLEY VIEW
Poodle,Y,M,VALLEY VIEW
Terrier,N,F,VALLEY VIEW
Terrier,N,F,VALLEY VIEW
Chihuahua,N,F,VALLEY VIEW
Kelpie X,Y,M,VALLEY VIEW
Border Collie,Y,M,VALLEY VIEW
Maltese X,N,F,VALLEY VIEW
Maltese X,N,M,VALLEY VIEW
Boxer,Y,F,VALLEY VIEW
Spaniel X,Y,F,VALLEY VIEW
Blue Heeler X,Y,F,VALLEY VIEW
Staffordshire Bull Terrier X,N,M,VALLEY VIEW
Staffordshire Bull Terrier X,N,F,VALLEY VIEW
Rhodesian Ridgeback X,N,F,VALLEY VIEW
Fox Terrier X,N,F,VALLEY VIEW
Staffordshire Bull Terrier X,N,M,VALLEY VIEW
Staffordshire Bull Terrier,N,M,VALLEY VIEW
Kelpie X,Y,F,VALLEY VIEW
Rottweiler,Y,M,VALLEY VIEW
Blue Heeler X,Y,M,VALLEY VIEW
