Breed Description,Animal Neutered,Animal Sex,Suburb
Terrier S`Shire Bull,Y,F,Prospect
Border Collie,Y,M,Prospect
Poodle Toy,Y,M,PROSPECT
Airedale,Y,F,PROSPECT
Retriever Golden,Y,F,FITZROY
Beagle,Y,M,PROSPECT
Schnauser,Y,M,PROSPECT
Cavalier King Charles Spaniel,Y,F,PROSPECT
Spaniel,Y,M,PROSPECT
Maltese Terrier,N,F,PROSPECT
Aust Terrier Silky,N,F,PROSPECT
Maltese Terrier,N,M,PROSPECT
Lhasa Apso,Y,F,PROSPECT
Terrier,Y,F,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Labrador,Y,F,PROSPECT
Terrier Jack Russell,Y,M,PROSPECT
Terrier Jack Russell,Y,M,PROSPECT
Spaniel Cocker,Y,M,PROSPECT
Poodle,Y,M,PROSPECT
Heeler,Y,M,PROSPECT
Heeler,Y,M,PROSPECT
Border Collie,Y,M,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Great Dane,Y,F,PROSPECT
Labrador,Y,F,PROSPECT
Fox Terrier,Y,F,Prospect
Canaan Dog,Y,M,PROSPECT
Whippet,Y,F,Prospect
Retriever Golden,Y,F,PROSPECT
Kelpie,N,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Terrier Jack Russell,N,M,Prospect
Poodle Toy,Y,M,PROSPECT
Collie,Y,F,PROSPECT
Kelpie,Y,M,Prospect
Alaskan Malamute,Y,M,Prospect
Terrier S`Shire Bull,Y,F,PROSPECT
Poodle Toy,Y,F,Prospect
Pomeranian,Y,F,PROSPECT
German Shepherd,Y,F,PROSPECT
Labrador,Y,M,PROSPECT
Terrier,N,F,PROSPECT
Maltese Terrier,Y,F,Prospect
Japanese Spitz,Y,F,PROSPECT
Dalmation,Y,F,Prospect
Maltese Terrier,Y,M,Prospect
Miniature Schnauser,Y,F,Prospect
Terrier Yorkshire,Y,F,Prospect
Maltese Terrier,N,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Elkhound,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Maltese Terrier,N,F,Prospect
Maltese Terrier,Y,M,Prospect
Kelpie,Y,F,PROSPECT
Kelpie,Y,M,PROSPECT
Bull Terrier,Y,M,PROSPECT
German Shepherd,N,M,PROSPECT
Maltese Terrier,N,M,PROSPECT
Heeler,Y,M,PROSPECT
Cavalier King Charles Spaniel,Y,F,Prospect
Weimaraner,Y,F,Prospect
Poodle,Y,M,Fitzroy
Cavalier King Charles Spaniel,Y,M,FITZROY
Schnauser,N,M,FITZROY
Dalmation,Y,F,FITZROY
Labrador,Y,F,FITZROY
Tenterfield Terrier,Y,M,Prospect
Labrador,N,F,Fitzroy
Poodle,Y,M,Fitzroy
Poodle,Y,F,FITZROY
Poodle,Y,F,PROSPECT
Dachshund,Y,M,PROSPECT
Labrador,Y,M,PROSPECT
Kelpie,Y,F,PROSPECT
Labrador,N,M,Prospect
Rottweiler,Y,F,Prospect
Border Collie,Y,M,Prospect
Border Collie,Y,F,Prospect
Heeler,Y,F,PROSPECT
Boxer,N,M,PROSPECT
Labrador,Y,M,PROSPECT
Terrier Jack Russell,N,M,PROSPECT
Terrier Fox Mini,N,F,PROSPECT
Labrador,Y,M,Prospect
Pomeranian,Y,M,PROSEPCT
Whippet,Y,M,Prospect
Poodle,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Terrier S`Shire Bull,Y,M,PROSPECT
Border Collie,Y,F,PROSPECT
Chihuahua,N,M,PROSPECT
Cavalier King Charles Spaniel,Y,F,Prospect
Cavalier King Charles Spaniel,Y,M,Prospect
Pomeranian,Y,M,PROSPECT
Staffordshire Terrier,Y,F,PROSPECT
Poodle Toy,Y,M,PROSPECT
Poodle Toy,Y,F,PROSPECT
Maltese Terrier,N,M,PROSPECT
Chihuahua,Y,M,PROSPECT
Kelpie,Y,F,PROSPECT
Chow Chow,N,M,PROSPECT
Keeshond,Y,F,PROSPECT
Cavalier King Charles Spaniel,Y,M,Prospect
Cavalier King Charles Spaniel,Y,M,Prospect
Border Collie,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Shihtzu,Y,M,PROSPECT
Maltese Terrier,N,M,PROSPECT
German Shepherd,Y,M,PROSPECT
Rhodesian Ridgeback,Y,M,Prospect
Finnish Spitz,N,F,PROSPECT
Schipperke,N,F,PROSPECT
Pomeranian,Y,F,Prospect
Tenterfield Terrier,Y,F,PROSPECT
Tibetan Spaniel,Y,F,PROSPECT
Terrier S`Shire Bull,N,M,Prospect
Poodle,Y,M,PROSPECT
Cavalier King Charles Spaniel,Y,F,PROSPECT
Cavalier King Charles Spaniel,Y,M,PROSPECT
Doberman,Y,F,Prospect
Papillon,Y,F,PROSPECT
Papillon,N,M,PROSPECT
Poodle,Y,M,Prospect
Shihtzu,Y,M,PROSPECT
German Shorthaired Pointer,Y,M,PROSPECT
Poodle,Y,F,Prospect
Beagle,Y,M,PROSPECT
Terrier Jack Russell,Y,M,PROSPECT
Labrador,N,M,PROSPECT
Schnauser,Y,M,Prospect
German Shepherd,Y,F,PROSPECT
Cavalier King Charles Spaniel,N,F,PROSPECT
Corgi Welsh,Y,M,PROSPECT
Pomeranian,Y,M,PROSPECT
Cavalier King Charles Spaniel,Y,M,PROSPECT
Maltese Terrier,Y,F,Prospect
Maltese Terrier,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Terrier,Y,M,Prospect
Kelpie,Y,F,PROSPECT
Alaskan Malamute,Y,F,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Spaniel Cocker,Y,F,PROSPECT
Border Collie,Y,M,PROSPECT
Border Collie,Y,F,PROSPECT
Beagle,Y,F,PROSPECT
Terrier S`Shire Bull,Y,F,Prospect
Labrador,Y,M,Prospect
Poodle,Y,M,PROSPECT
Terrier,Y,F,PROSPECT
Maltese Terrier,N,F,Prospect
Maltese Terrier,Y,M,Prospect
Cavalier King Charles Spaniel,Y,M,PROSPECT
Maltese Terrier,Y,M,Prospect
Doberman,Y,F,PROSPECT
Terrier S`Shire Bull,Y,F,PROSPECT
Labrador,Y,F,PROSPECT
Maltese Terrier,N,F,PROSPECT
Labrador,Y,F,Prospect
Bulldog,N,F,Prospect
German Shepherd,Y,F,Prospect
Poodle,Y,M,PROSPECT
Maltese Terrier,Y,M,Prospect
Terrier Jack Russell,Y,F,Prospect
Poodle Toy,Y,F,Prospect
Chihuahua,Y,F,PROSPECT
Chihuahua,Y,F,PROSPECT
Terrier,Y,F,PROSPECT
Australian Cattle Dog,Y,F,PROSPECT
Aust Terrier Silky,Y,F,PROSPECT
Labrador,Y,M,PROSPECT
Retriever Golden,Y,F,Prospect
Kelpie,N,F,Prospect
Shihtzu,Y,F,PROSPECT
Schnauser,Y,M,PROSPECT
Heeler,Y,F,PROSPECT
Poodle,Y,F,Prospect
Maltese Terrier,Y,M,Prospect
Maltese Terrier,N,F,PROSPECT
Retriever,Y,M,PROSPECT
Dachshund,Y,F,PROSPECT
German Shepherd,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Shiba Inu,Y,F,Prospect
Terrier S`Shire Bull,Y,M,PROSPECT
German Shepherd,N,M,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Chihuahua,Y,M,PROSPECT
Terrier Jack Russell,Y,F,PROSPECT
Terrier Jack Russell,N,F,Prospect
Kelpie,N,M,Prospect
Border Collie,N,F,PROSPECT
Lhasa Apso,Y,M,PROSPECT
Retriever,N,M,PROSPECT
Cavalier King Charles Spaniel,N,F,PROSPECT
Corgi,Y,F,PROSPECT
Rottweiler,Y,M,PROSPECT
Terrier Westhighland,N,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Terrier Westhighland,Y,M,PROSPECT
Maltese Terrier,Y,F,Prospect
Maltese Terrier,N,F,Prospect
German Shepherd,Y,M,Prospect
Retriever Curly,Y,M,PROSPECT
Shihtzu,Y,F,PROSPECT
Kangal,Y,M,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Retriever Golden,N,M,PROSPECT
Terrier Jack Russell,Y,M,PROSPECT
Terrier Jack Russell,Y,F,PROSPECT
Chihuahua,N,M,PROSPECT
Chihuahua,Y,F,PROSPECT
Poodle Toy,Y,M,PROSPECT
Hungarian Vizsla,Y,M,PROSPECT
Hungarian Vizsla,Y,F,PROSPECT
Boxer,Y,M,PROSPECT
Terrier Fox Mini,Y,M,Prospect
Fox Terrier,Y,F,Prospect
Rhodesian Ridgeback,Y,F,Prospect
Terrier,Y,F,Prospect
Terrier Jack Russell,Y,F,Prospect
Terrier Fox Mini,Y,F,Prospect
Cavalier King Charles Spaniel,Y,F,PROSPECT
Rhodesian Ridgeback,N,M,PROSPECT
Mini Pinscher,Y,F,PROSPECT
Terrier Jack Russell,Y,F,PROSPECT
Alaskan Malamute,Y,M,Prospect
Terrier,Y,M,Prospect
Kelpie,Y,F,Prospect
Terrier Westhighland,Y,F,Prospect
Labrador,Y,M,PROSPECT
Maltese Terrier,Y,M,BROADVIEW
Retriever Golden,Y,F,THORNGATE
Maltese Terrier,Y,F,Prospect
Dachshund Mini,N,M,PROSPECT
Shihtzu,N,F,Prospect
Maltese Terrier,Y,F,Prospect
Maltese Terrier,Y,M,Prospect
Maltese Terrier,Y,M,PROSPECT
Terrier,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Terrier Jack Russell,Y,M,FITZROY
Shihtzu,Y,M,Broadview
Shihtzu,Y,F,Broadview
American Cocker Spaniel,Y,F,BROADVIEW
Cavalier King Charles Spaniel,Y,M,PROSPECT
Maltese Terrier,N,M,Prospect
Maltese Terrier,Y,F,Prospect
Heeler,Y,F,PROSPECT
Terrier,Y,F,PROSPECT
Chihuahua,Y,M,Collinswood
Labrador,Y,F,PROSPECT
Cavalier King Charles Spaniel,Y,F,PROSPECT
Cavalier King Charles Spaniel,Y,F,PROSPECT
Chihuahua,Y,F,PROSPECT
Border Collie,Y,M,PROSPECT
Terrier Jack Russell,N,F,PROSPECT
Bull Mastiff,N,F,BROADVIEW
Terrier Westhighland,Y,F,NAILSWORTH
German Shepherd,Y,M,PROSPECT
Border Collie,Y,M,PROSPECT
Beagle,Y,M,PROSPECT
Australian Cattle Dog,Y,M,Prospect
Beagle,Y,M,Prospect
Maltese Terrier,Y,M,Prospect
Spaniel Cocker,Y,M,PROSPECT
Maltese Terrier,Y,F,Prospect
Maltese Terrier,Y,M,BROADVIEW
Maltese Terrier,Y,M,COLLINSWOOD
Dachshund,Y,F,PROSPECT
Kelpie,Y,M,PROSPECT
Spaniel Cocker,Y,F,Prospect
Kelpie,Y,F,Prospect
Poodle,Y,M,PROSPECT
Poodle Toy,Y,M,PROSPECT
Retriever Golden,N,M,Prospect
Poodle,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Rhodesian Ridgeback,N,F,PROSPECT
Pekinese,Y,F,COLLINSWOOD
Pekinese,Y,F,COLLINSWOOD
Weimaraner,Y,M,Prospect
Chihuahua,Y,M,PROSPECT
Cavalier King Charles Spaniel,Y,M,PROSPECT
Cavalier King Charles Spaniel,Y,M,PROSPECT
Terrier S`Shire Bull,Y,M,NAILSWORTH
Labrador,Y,M,PROSPECT
Maltese Terrier,N,M,Prospect
Cavalier King Charles Spaniel,Y,F,PROSPECT
Terrier Jack Russell,Y,F,BROADVIEW
Pug,Y,M,Prospect
Maltese Terrier,Y,F,PROSPECT
Maltese Terrier,Y,F,MEDINDIE GARDENS
Chihuahua,Y,M,Prospect
Cairn Terrier,Y,M,Prospect
Greyhound Italian,Y,F,PROSPECT
Poodle,Y,M,PROSPECT
Poodle,Y,F,PROSPECT
Labrador,N,M,PROSPECT
German Shorthaired Pointer,N,M,Prospect
Lhasa Apso,Y,F,NAILSWORTH
Collie,Y,M,Prospect
Labrador,N,M,PROSPECT
Labrador,Y,F,FITZROY
Terrier Westhighland,Y,F,FITZROY
Tenterfield Terrier,Y,F,COLLINSWOOD
Heeler,Y,F,BROADVIEW
Chinese Crested,Y,F,PROSPECT
Maltese Terrier,Y,M,Prospect
Bichon Frise,Y,M,PROSPECT
Weimaraner,Y,F,PROSPECT
Weimaraner,Y,M,PROSPECT
Maltese Terrier,Y,F,Prospect
Shihtzu,Y,F,PROSPECT
Greyhound,Y,F,PROSPECT
Poodle Toy,Y,M,Prospect
Terrier S`Shire Bull,Y,F,OVINGHAM
Schnauser,Y,F,NAILSWORTH
Terrier Westhighland,N,M,NAILSWORTH
Chinese Crested,Y,F,PROSPECT
Maltese Terrier,Y,M,PROSPECT
German Shorthaired Pointer,Y,M,Prospect
Terrier S`Shire Bull,N,M,PROSPECT
Terrier S`Shire Bull,Y,F,PROSPECT
