Breed_Description,,Gender,Suburb
GOLDEN RETRIEVER,,male,Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,Female,North Adelaide
CAVALIER KING CHARLES SPANIEL,,male,North Adelaide
LABRADOR CROSS,,male,North Adelaide
AIREDALE TERRIER,,male,North Adelaide
AUSTRALIAN CATTLE DOG,,male,North Adelaide
LABRADOR RETRIEVER,,male,North Adelaide
TIBETAN SPANIEL,,male,Adelaide
TIBETAN SPANIEL,,male,Adelaide
SCHNAUZER MINIATURE,,male,Adelaide
AUSTRALIAN CATTLE DOG,,male,North Adelaide
GERMAN SHEPHERD DOG,,male,Adelaide
GOLDEN RETRIEVER,,Female,Adelaide
CAVALIER KING CHARLES SPANIEL,,Female,North Adelaide
POODLE TOY,,male,Adelaide
DALMATION,,Female,North Adelaide
SCHNAUZER CROSS,,Female,North Adelaide
POMERANIAN CROSS,,Female,Adelaide
CAVALIER KING CHARLES SPANIEL,,Female,Adelaide
LABRADOR RETRIEVER,,Female,North Adelaide
BORDER COLLIE CROSS,,male,North Adelaide
CAVALIER KING CHARLES SPANIEL,,male,Adelaide
AIREDALE TERRIER,,male,North Adelaide
AIREDALE TERRIER,,Female,North Adelaide
AUST CATTLE DOG CROSS,,Female,North Adelaide
YORKSHIRE TERRIER,,Female,North Adelaide
RHODESIAN RIDGEBACK,,Female,Adelaide
RHODESIAN RIDGEBACK,,male,North Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,male,North Adelaide
MALTESE CROSS,,Female,North Adelaide
PUG CROSS,,Female,Adelaide
DALMATION,,male,North Adelaide
LABRADOR RETRIEVER,,Female,North Adelaide
SCOTTISH TERRIER,,male,Adelaide
WEST HIGHLAND WHITE TERRIER,,male,Adelaide
MALTESE CROSS,,Female,North Adelaide
JACK RUSSELL TERRIER,,Female,Adelaide
JACK RUSSELL TERRIER,,Female,Adelaide
CHIHUAHUA,,male,Adelaide
MALTESE CROSS,,Female,Adelaide
MALTESE CROSS,,male,Adelaide
MALTESE CROSS,,Female,North Adelaide
POODLE TOY CROSS,,male,North Adelaide
POODLE MINATURE CROSS,,male,Adelaide
MALTESE CROSS,,male,North Adelaide
PUG CROSS,,male,North Adelaide
WEIMERANER,,male,North Adelaide
WEIMERANER,,Female,North Adelaide
MALTESE CROSS,,Female,North Adelaide
BOXER CROSS,,Female,Adelaide
MALTESE CROSS,,male,Adelaide
POODLE STANDARD CROSS,,male,North Adelaide
PUG,,male,North Adelaide
WEIMERANER,,male,North Adelaide
LABRADOR RETRIEVER,,male,North Adelaide
SHIH TZU CROSS,,male,North Adelaide
CHIHUAHUA,,male,Adelaide
GERMAN SHEPHERD DOG,,male,North Adelaide
