OBJECTID,CREATED,MODIFIEDLAST,MODIFIEDBY,SERIAL_NO,RESERVE_NAME,LOCATION,SUBURB,ACTIVE_PASSIVE,DESCRIPTION,COMPKEY,COMPTYPE,Shape_STArea__,Shape_STLength__
149,2005-11-02T09:46:30.000Z,,cm,189,Hedge Row Reserve,Hedge Row,OAKDEN,Passive,,,,3221.795504,223.364193
150,2005-11-02T09:46:31.000Z,,cm,191,Regent Gardens Reserve,Sir Ross Smith Bvd,OAKDEN,Passive,,,,32141.236644,899.959433
151,2005-11-02T09:46:31.000Z,,cm,193,St Michaels Cct,St Michaels Cct,OAKDEN,Passive,,,,4610.713636,298.803335
152,2005-11-02T09:46:31.000Z,,cm,194,Woodland Reserve,Conservatory Cct,OAKDEN,Passive,,,,5016.074742,277.126822
154,2005-11-02T09:46:31.000Z,,cm,199,Marmora Tce Reserve,Lot 381 Marmora Tce,OSBORNE,Passive,,,,1315.663892,160.49062
155,2005-11-02T09:46:31.000Z,,cm,199,Marmora Tce Reserve,Lot 48 Marmora Tce,OSBORNE,Passive,,,,4563.872271,357.66814
156,2005-11-02T09:46:31.000Z,,cm,198,Koombana Reserve,Koombana Tce,OSBORNE,Passive,,,,3910.033575,246.825944
157,2005-11-02T09:46:31.000Z,,cm,201,Martin Ct Reserve,"Lots 28, 29, 30, 35, 36, 37 Martin Ct",OTTOWAY,Passive,,,,3063.22581,769.79666
158,2005-11-02T09:46:32.000Z,,cm,342,S N Davy Reserve,Emerald Pde,OTTOWAY,Passive,,,,2477.703481,263.067449
159,2005-11-02T09:46:32.000Z,,cm,204,Eastern Pde Reserve,Eastern Pde,OTTOWAY,Active,,,,26378.361734,655.098467
160,2005-11-02T09:46:32.000Z,,cm,205,Peter Nicholls Reserve,Hargrave St,PETERHEAD,Passive,,,,1586.388196,159.324736
161,2005-11-02T09:46:32.000Z,,cm,248,Leadenhall St Reserve,Leadenhall St,PORT ADELAIDE,Passive,,,,1967.058411,283.706501
162,2005-11-02T09:46:32.000Z,,cm,343,Leslie Pl Reserve,Leslie Pl,PORT ADELAIDE,Passive,,,,341.708911,89.321793
163,2005-11-02T09:46:32.000Z,,cm,213,Montpelier Sq Reserve,Montpelier Sq,PORT ADELAIDE,Passive,,,,3719.583114,221.934073
