Breed,De-sexed,Gender,Suburb
Spoodle                                 ,Y,M,COLONEL LIGHT GARDENS              
Border Collie                           ,Y,M,BELAIR                             
Labrador                                ,Y,M,CUMBERLAND PARK                    
Labradoodle                             ,Y,F,BLACKWOOD                          
Spanador                                ,Y,M,COLONEL LIGHT GARDENS              
Cavalier King Charles Spaniel           ,N,M,URRBRAE                            
Dalmatian                               ,Y,M,COLONEL LIGHT GARDENS              
Poodle                                  ,Y,M,HAWTHORNDENE                       
Miniature Schnauzer                     ,Y,M,HAWTHORN                           
Border Collie                           ,Y,M,BLACKWOOD                          
Cavalier King Charles Spaniel           ,Y,M,EDEN HILLS                         
Cocker Spaniel                          ,Y,M,COLONEL LIGHT GARDENS              
Fox Terrier (Smooth)                    ,Y,M,CRAIGBURN FARM                     
Sheltie                                 ,Y,M,BLACKWOOD                          
Bull Terrier                            ,Y,M,CUMBERLAND PARK                    
Schnauzer Standard                      ,Y,M,HAWTHORNDENE                       
Groodle                                 ,N,M,HAWTHORNDENE                       
Miniature Schnauzer                     ,Y,M,CRAIGBURN FARM                     
Labrador                                ,N,M,BEDFORD PARK                       
Miniature Schnauzer                     ,Y,M,HAWTHORN                           
Cavalier King Charles Spaniel           ,Y,M,BELAIR                             
Groodle                                 ,Y,M,MITCHAM                            
Cavoodle                                ,Y,M,KINGSWOOD                          
Heeler                                  ,Y,M,BLACKWOOD                          
Groodle                                 ,Y,M,BELAIR                             
Cavalier King Charles Spaniel           ,Y,M,MITCHAM                            
Labrador                                ,Y,M,PANORAMA                           
Miniature Schnauzer                     ,Y,M,CUMBERLAND PARK                    
West Highland Terrier                   ,Y,M,LOWER MITCHAM                      
Labrador Retriever                      ,Y,M,LEAWOOD GARDENS                    
Beagle                                  ,N,M,COROMANDEL VALLEY                  
Beaglier                                ,Y,M,EDEN HILLS                         
Maltese                                 ,Y,M,HAWTHORNDENE                       
Rhodesian Ridgeback                     ,Y,M,BLACKWOOD                          
Amer Staff Terrier                      ,Y,F,COROMANDEL VALLEY                  
German Shorthaired Pointer              ,Y,M,CUMBERLAND PARK                    
German Shepherd                         ,Y,F,EDEN HILLS                         
Toy Poodle                              ,Y,M,CUMBERLAND PARK                    
Cocker Spaniel                          ,Y,F,HAWTHORN                           
Miniature Poodle                        ,Y,M,ST MARYS                           
Miniature Poodle                        ,Y,M,CUMBERLAND PARK                    
Jack Russell Terrier                    ,N,M,EDEN HILLS                         
Miniature Dachshund Short Haired        ,Y,F,LOWER MITCHAM                      
Beagle                                  ,Y,F,KINGSWOOD                          
Rhodesian Ridgeback                     ,N,M,DAW PARK                           
Spoodle                                 ,Y,M,MITCHAM                            
Springer Spaniel                        ,Y,M,COROMANDEL VALLEY                  
Jack Russell Terrier                    ,Y,M,DAW PARK                           
Chihuahua                               ,Y,M,ST MARYS                           
Miniature Schnauzer                     ,Y,M,BELAIR                             
Labrador                                ,N,M,PASADENA                           
Maltese                                 ,Y,M,HAWTHORN                           
Shih Tzu                                ,Y,F,KINGSWOOD                          
French Bulldog                          ,Y,F,BELLEVUE HEIGHTS                   
German Shepherd                         ,Y,M,EDEN HILLS                         
Pug                                     ,Y,F,DAW PARK                           
Schnauzer Standard                      ,N,F,TORRENS PARK                       
Border Collie                           ,Y,M,HAWTHORNDENE                       
English Pointer                         ,N,F,CLAPHAM                            
English Staffordshire Bull Terrier      ,Y,F,GLENALTA                           
Golden Retriever                        ,Y,F,TORRENS PARK                       
German Shepherd                         ,Y,F,BLACKWOOD                          
Labrador                                ,Y,F,HAWTHORNDENE                       
Keeshond                                ,Y,F,KINGSWOOD                          
German Shepherd                         ,N,F,HAWTHORNDENE                       
Pembroke Corgi                          ,Y,F,KINGSWOOD                          
Rhodesian Ridgeback                     ,Y,F,BELLEVUE HEIGHTS                   
Fox Terrier                             ,Y,F,HAWTHORNDENE                       
Beagle                                  ,Y,F,MELROSE PARK                       
Golden Retriever                        ,Y,M,DAW PARK                           
Border Collie                           ,Y,M,DAW PARK                           
Maltese                                 ,Y,F,CLARENCE GARDENS                   
Maltese                                 ,Y,M,SPRINGFIELD                        
West Highland Terrier                   ,Y,F,PASADENA                           
Jack Russell Terrier                    ,Y,M,HAWTHORNDENE                       
Lhasa Apso                              ,Y,M,KINGSWOOD                          
Australian Kelpie                       ,Y,M,KINGSWOOD                          
Border Collie                           ,Y,M,HAWTHORN                           
Maltese                                 ,Y,M,MELROSE PARK                       
Australian Kelpie                       ,Y,M,ST MARYS                           
Australian Kelpie                       ,Y,F,COROMANDEL VALLEY                  
Tibetian Terrier                        ,Y,M,PANORAMA                           
Labrador                                ,Y,F,LYNTON                             
Miniature Fox Terrier                   ,N,M,COLONEL LIGHT GARDENS              
Akita                                   ,Y,M,MELROSE PARK                       
Maltese                                 ,Y,F,CLARENCE GARDENS                   
Alaskan Malamute                        ,Y,F,MITCHAM                            
Cavalier King Charles Spaniel           ,Y,M,MELROSE PARK                       
Poodle                                  ,Y,M,NETHERBY                           
Golden Retriever                        ,Y,M,GLENALTA                           
Beagle                                  ,N,M,CRAIGBURN FARM                     
Maltese                                 ,Y,M,KINGSWOOD                          
Border Collie                           ,Y,F,CUMBERLAND PARK                    
Cocker Spaniel                          ,Y,F,CRAIGBURN FARM                     
Yorkshire Terrier                       ,Y,F,TORRENS PARK                       
Cavalier King Charles Spaniel           ,N,F,BELAIR                             
German Shorthaired Pointer              ,Y,F,CLARENCE GARDENS                   
Miniature Schnauzer                     ,Y,M,HAWTHORN                           
Golden Retriever                        ,N,M,CUMBERLAND PARK                    
Labrador                                ,Y,F,WESTBOURNE PARK                    
Toy Poodle                              ,Y,M,CUMBERLAND PARK                    
Border Collie                           ,N,M,GLENALTA                           
Australian Kelpie                       ,N,M,BELLEVUE HEIGHTS                   
Miniature Schnauzer                     ,Y,M,CUMBERLAND PARK                    
Jack Russell Terrier                    ,Y,M,CLAPHAM                            
Australian Kelpie                       ,Y,M,CLARENCE GARDENS                   
Labrador Retriever                      ,Y,M,MELROSE PARK                       
Golden Retriever                        ,Y,M,BELLEVUE HEIGHTS                   
Maltese                                 ,N,M,PASADENA                           
Dobermann                               ,Y,F,BELLEVUE HEIGHTS                   
Maltese                                 ,Y,F,MELROSE PARK                       
Cavalier King Charles Spaniel           ,N,F,CLAPHAM                            
Staffordshire Bull Terrier              ,Y,F,BELAIR                             
Labrador                                ,Y,M,DAW PARK                           
Australian Kelpie                       ,Y,M,CLAPHAM                            
German Shepherd                         ,Y,M,COLONEL LIGHT GARDENS              
German Shepherd                         ,Y,M,GLENALTA                           
Bullmastiff                             ,Y,M,MELROSE PARK                       
Border Collie                           ,Y,M,GLENALTA                           
Rottweiler                              ,Y,M,CRAIGBURN FARM                     
Labrador                                ,Y,F,HAWTHORNDENE                       
Boxer                                   ,Y,F,BLACKWOOD                          
Husky                                   ,N,F,COROMANDEL VALLEY                  
Border Collie                           ,Y,M,HAWTHORN                           
German Shepherd                         ,Y,F,EDEN HILLS                         
Spoodle                                 ,Y,M,PASADENA                           
Japanese Spitz                          ,Y,F,CLAPHAM                            
Border Collie                           ,Y,M,PASADENA                           
Maltese                                 ,Y,F,CRAIGBURN FARM                     
Labrador                                ,Y,F,URRBRAE                            
Italian Greyhound                       ,Y,M,BELAIR                             
Jack Russell Terrier                    ,N,M,PASADENA                           
Cocker Spaniel                          ,Y,F,HAWTHORN                           
Labradoodle                             ,Y,F,BELLEVUE HEIGHTS                   
Miniature Schnauzer                     ,N,F,CLAPHAM                            
Border Collie                           ,Y,M,KINGSWOOD                          
Lowchen                                 ,Y,F,WESTBOURNE PARK                    
Cocker Spaniel                          ,Y,F,BELAIR                             
Maltese                                 ,Y,M,LOWER MITCHAM                      
Cocker Spaniel                          ,Y,M,COROMANDEL VALLEY                  
Terrier                                 ,Y,M,ST MARYS                           
Golden Retriever                        ,Y,M,CUMBERLAND PARK                    
Spoodle                                 ,Y,M,DAW PARK                           
Maltese                                 ,Y,M,CLARENCE GARDENS                   
