Breed Description,,,Suburb
Jack Russell TerrierX,,Male,NOARLUNGA DOWNS
Border Collie X,,Female,HAPPY VALLEY   
German Shepherd Dog,Desexed,Female,CLARENDON      
Maltese X,Desexed,Male,WOODCROFT      
Australian Silky Terrier X,,Female,ALDINGA        
Corgi X(see either Welsh Cardigan/ Welsh Pembroke),Desexed,,ABERFOYLE PARK 
Jack Russell Terrier,Desexed,Male,OLD NOARLUNGA  
Maltese X,,Male,REYNELLA EAST  
Mastiff X,Desexed,Male,MORPHETT VALE  
Labrador Retriever,Desexed,Female,MORPHETT VALE  
Australian Cattle Dog,Desexed,Female,SELLICKS HILL  
Bichon Frise X,Desexed,Female,MORPHETT VALE  
Australian Kelpie,Desexed,Male,SEAFORD RISE   
Shih Tzu X,Desexed,Female,MORPHETT VALE  
Schnauzer,Desexed,Female,WOODCROFT      
Maltese X,Desexed,Male,ALDINGA        
Rhodesian Ridgeback X,Desexed,Female,WOODCROFT      
Border Collie,Desexed,Female,WOODCROFT      
Jack Russell TerrierX,Desexed,Female,ABERFOYLE PARK 
Maltese X,,Female,FLAGSTAFF HILL 
Jack Russell TerrierX,Desexed,Male,O'HALLORAN HILL
English Springer Spaniel,Desexed,Female,HAPPY VALLEY   
Jack Russell Terrier,Desexed,Female,COROMANDEL VALL
Jack Russell Terrier,Desexed,Male,HAPPY VALLEY   
Golden Retriever X,,Female,WILLUNGA       
Corgi (see either Welsh Cardigan/ Welsh Pembroke),Desexed,Female,MORPHETT VALE  
Maltese X,Desexed,Female,HACKHAM        
Rhodesian Ridgeback,Desexed,Female,SELLICKS HILL  
Maltese X,,Male,REYNELLA       
Border Collie X,Desexed,Female,ALDINGA BEACH  
Maltese X,,Male,FLAGSTAFF HILL 
Australian Kelpie X,Desexed,Male,REYNELLA       
Bichon Frise X,Desexed,Male,MOANA          
Maltese X,Desexed,Female,CHERRY GARDENS 
Staffordshire Bull Terrier,Desexed,Female,REYNELLA       
Pekingese X,Desexed,Female,WOODCROFT      
Australian Kelpie X,Desexed,Female,ALDINGA BEACH  
Jack Russell Terrier,Desexed,Male,MORPHETT VALE  
Cavalier King Charles Spaniel X,Desexed,Male,ABERFOYLE PARK 
Bichon Frise X,Desexed,Male,ABERFOYLE PARK 
Jack Russell Terrier,Desexed,Female,WOODCROFT      
Jack Russell Terrier,,Female,BLEWITT SPRINGS
Rhodesian Ridgeback X,Desexed,Female,IRONBANK       
Chihuahua X,Desexed,Female,ABERFOYLE PARK 
German Shepherd Dog X,Desexed,Female,FLAGSTAFF HILL 
Labrador Retriever,Desexed,Female,WILLUNGA       
Maltese,,Male,FLAGSTAFF HILL 
Poodle (Miniature),,Male,ALDINGA BEACH  
Maltese X,Desexed,Female,WOODCROFT      
Jack Russell Terrier,Desexed,Female,HACKHAM        
Australian Silky Terrier,Desexed,Male,OLD NOARLUNGA  
German Shepherd Dog X,Desexed,Male,HACKHAM        
Labrador Retriever,Desexed,Female,MORPHETT VALE  
Terrier X,Desexed,Female,COROMANDEL VALL
Border Collie X,Desexed,Male,NOARLUNGA DOWNS
Fox Terrier,,Female,MORPHETT VALE  
Fox Terrier,,Female,MORPHETT VALE  
Fox Terrier,Desexed,Male,PORT NOARLUNGA 
Shih Tzu X,Desexed,Female,NOARLUNGA DOWNS
Jack Russell Terrier,Desexed,Male,MORPHETT VALE  
Fox Terrier (Smooth) X,,Female,SEAFORD RISE   
Poodle (Toy),Desexed,Male,REYNELLA EAST  
Border Collie,Desexed,Female,FLAGSTAFF HILL 
Maltese X,Desexed,Male,ABERFOYLE PARK 
Maltese X,Desexed,Male,HUNTFIELD HEIGH
Maltese X,Desexed,Male,HUNTFIELD HEIGH
Australian Terrier X,Desexed,Female,MORPHETT VALE  
Australian Cattle Dog X,Desexed,Female,MORPHETT VALE  
Chihuahua X,Desexed,Female,WILLUNGA       
Cairn Terrier,,Female,TATACHILLA     
Rottweiler X,,Male,HUNTFIELD HEIGH
Labrador Retriever,,Female,MORPHETT VALE  
Australian Cattle Dog X,Desexed,Female,CLARENDON      
Poodle (Standard) X,Desexed,Male,PORT NOARLUNGA 
Poodle (Toy),Desexed,Female,MORPHETT VALE  
Maltese X,Desexed,Female,WOODCROFT      
Labrador Retriever,,Male,FLAGSTAFF HILL 
Labrador Retriever X,Desexed,Male,WOODCROFT      
Australian Silky Terrier X,Desexed,Male,HUNTFIELD HEIGH
Jack Russell Terrier,,Male,OLD NOARLUNGA  
Fox Terrier X,,Female,NOARLUNGA DOWNS
Shih Tzu X,Desexed,Female,SEAFORD        
German Shepherd Dog X,Desexed,Female,ABERFOYLE PARK 
Jack Russell TerrierX,Desexed,Male,ALDINGA BEACH  
Labrador Retriever X,Desexed,Male,WOODCROFT      
Shetland Sheep Dog,Desexed,Male,MORPHETT VALE  
Australian Kelpie X,Desexed,Female,MORPHETT VALE  
Siberian Husky,Desexed,Male,O'HALLORAN HILL
Terrier,Desexed,Female,O'SULLIVAN BEAC
Maltese X,Desexed,Female,NOARLUNGA DOWNS
Fox Terrier (Smooth) X,,Female,SEAFORD        
Beagle,Desexed,Female,O'HALLORAN HILL
Rottweiler,,Female,ONKAPARINGA HIL
Jack Russell Terrier,Desexed,Male,HAPPY VALLEY   
Maltese X,Desexed,Male,WOODCROFT      
Jack Russell TerrierX,,Male,SEAFORD RISE   
German Shepherd Dog X,Desexed,Male,SEAFORD RISE   
Labrador Retriever X,Desexed,Male,MORPHETT VALE  
Australian Cattle Dog X,Desexed,Male,ALDINGA BEACH  
Jack Russell Terrier,Desexed,Female,PORT NOARLUNGA 
Maltese,,Female,ABERFOYLE PARK 
Golden Retriever X,Desexed,Female,NOARLUNGA DOWNS
Border Collie,Desexed,Male,CHANDLERS HILL 
Jack Russell Terrier,Desexed,Male,HAPPY VALLEY   
West Highland White Terrier,,Male,ONKAPARINGA HIL
Australian Terrier,Desexed,Male,COROMANDEL VALL
Australian Kelpie,Desexed,Female,ALDINGA BEACH  
Border Collie X,Desexed,Female,WOODCROFT      
Australian Kelpie X,Desexed,Male,MCLAREN VALE   
Border Collie,Desexed,Female,COROMANDEL VALL
Maltese X,Desexed,Female,O'SULLIVAN BEAC
Jack Russell TerrierX,Desexed,Female,ALDINGA BEACH  
Australian Silky Terrier,Desexed,Male,WOODCROFT      
Maltese X,Desexed,Female,PORT NOARLUNGA 
Bull Terrier X,Desexed,Female,FLAGSTAFF HILL 
Maltese X,,Male,HUNTFIELD HEIGH
Maltese X,Desexed,Male,WOODCROFT      
Maltese X,Desexed,Female,MORPHETT VALE  
Maltese X,Desexed,Male,ABERFOYLE PARK 
Australian Cattle Dog X,Desexed,Male,KANGARILLA     
Jack Russell Terrier,Desexed,Male,COROMANDEL VALL
Border Collie X,Desexed,Male,ABERFOYLE PARK 
Poodle (Toy),Desexed,Female,HAPPY VALLEY   
Labrador Retriever,Desexed,Female,HAPPY VALLEY   
Staffordshire Bull Terrier X,Desexed,,WILLUNGA       
Jack Russell Terrier,Desexed,Male,HUNTFIELD HEIGH
Border Collie,,Female,SEAFORD        
Australian Terrier,,Male,WOODCROFT      
Shetland Sheep Dog,Desexed,Male,ALDINGA BEACH  
Maltese X,Desexed,Male,MORPHETT VALE  
Australian Cattle Dog,Desexed,Female,MORPHETT VALE  
Maltese X,Desexed,Male,FLAGSTAFF HILL 
Maltese X,Desexed,Male,O'HALLORAN HILL
Staffordshire Bull Terrier X,,Female,ALDINGA BEACH  
Jack Russell TerrierX,Desexed,Female,MORPHETT VALE  
Maltese X,Desexed,Female,PORT NOARLUNGA 
Border Collie,Desexed,Male,WOODCROFT      
Border Collie,,Female,WILLUNGA SOUTH 
Jack Russell TerrierX,,Female,HUNTFIELD HEIGH
Pomeranian X,,Male,SEAFORD RISE   
Tibetan Spaniel,Desexed,Male,O'HALLORAN HILL
Border Collie,Desexed,Male,SELLICKS BEACH 
Beagle X,Desexed,Female,PORT NOARLUNGA 
Staffordshire Bull Terrier X,Desexed,Male,PORT WILLUNGA  
Border Collie,Desexed,Male,SEAFORD RISE   
Australian Kelpie X,Desexed,Female,WOODCROFT      
Labrador Retriever,,Female,MORPHETT VALE  
Maltese X,Desexed,Male,MORPHETT VALE  
Terrier X,Desexed,Female,COROMANDEL VALL
Maltese X,Desexed,Male,MOANA          
Australian Kelpie,,Female,MORPHETT VALE  
English Springer Spaniel,Desexed,Male,CHERRY GARDENS 
Pomeranian X,Desexed,Female,MORPHETT VALE  
Fox Terrier,Desexed,Male,SEAFORD        
Mixed,Desexed,Female,CHRISTIES BEACH
Maltese X,,Female,WOODCROFT      
Australian Kelpie,Desexed,Female,COROMANDEL VALL
American Staffordshire Terrier X,Desexed,Female,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,NOARLUNGA DOWNS
Jack Russell Terrier,,Female,HACKHAM WEST   
Border Collie,,Male,PORT NOARLUNGA 
Jack Russell Terrier,,Female,MCLAREN VALE   
Labrador Retriever X,Desexed,Female,MORPHETT VALE  
Australian Silky Terrier X,Desexed,Female,ABERFOYLE PARK 
Dachshund,,Female,MCLAREN VALE   
West Highland White Terrier,,Male,REYNELLA       
Chihuahua X,Desexed,Male,SELLICKS BEACH 
Jack Russell TerrierX,Desexed,Female,MORPHETT VALE  
Dalmatian X,,Female,CHRISTIES BEACH
Shih Tzu X,,Male,MOANA          
Fox Terrier (Smooth),Desexed,Male,WOODCROFT      
Jack Russell Terrier,Desexed,Female,HUNTFIELD HEIGH
Border Collie X,Desexed,Female,OLD REYNELLA   
