Breed_Description,desexed,sex,Suburb
Bull Terrier X,yes,Female,SMITHFIELD PLAINS
Shih Tzu X,no,Male,ONE TREE HILL
Jack Russell Terrier,no,Male,ELIZABETH VALE
Australian Cattle Dog X,no,Male,DAVOREN PARK
Border Collie,yes,Female,ULEYBURY
Poodle X,yes,Female,ELIZABETH EAST
Shih Tzu X,yes,Female,MUNNO PARA
Jack Russell Terrier,no,Male,CRAIGMORE
Jack Russell Terrier,yes,Female,ELIZABETH DOWNS
Australian Silky Terrier,no,Male,ANDREWS FARM
Curly Coated Retriever,yes,Male,ONE TREE HILL
Jack Russell Terrier,no,Male,SMITHFIELD PLAINS
Australian Kelpie X,no,Male,SMITHFIELD PLAINS
Australian Kelpie,no,Male,VIRGINIA
Shih Tzu,no,Female,SMITHFIELD PLAINS
Fox Terrier (Smooth),no,Female,ELIZABETH EAST
Chihuahua X,yes,Female,MUNNO PARA
Shih Tzu,yes,Female,HILLBANK
Poodle,no,Female,ELIZABETH DOWNS
Fox Terrier (Smooth),no,Male,ELIZABETH GROVE
Staffordshire Bull Terrier,no,Female,SMITHFIELD
Border Collie,no,Female,BLAKEVIEW
Tenterfield Terrier,yes,Male,ELIZABETH NORTH
Poodle (Toy),no,Male,DAVOREN PARK
Jack Russell Terrier,no,Male,VIRGINIA
Pomeranian X,no,Female,DAVOREN PARK
Maltese X,no,Male,ELIZABETH NORTH
Australian Kelpie X,yes,Female,ELIZABETH NORTH
Cocker Spaniel,yes,Female,CRAIGMORE
Tenterfield Terrier,no,Male,ANDREWS FARM
Maltese X,yes,Female,ANDREWS FARM
Labrador Retriever X,yes,Male,SMITHFIELD
Staffordshire Bull Terrier,no,Male,ELIZABETH VALE
Poodle,yes,Female,SMITHFIELD
Jack Russell Terrier,no,Male,CRAIGMORE
Maltese,no,Male,HILLBANK
Maltese,yes,Female,ELIZABETH DOWNS
Fox Terrier (Smooth)  X,yes,Male,DAVOREN PARK
Border Collie,no,Female,BLAKEVIEW
Maltese X,yes,Male,CRAIGMORE
Labrador Retriever,no,Male,HILLBANK
Poodle X,yes,Male,DAVOREN PARK
Maltese X,yes,Female,CRAIGMORE
Australian Kelpie,no,Female,BLAKEVIEW
Chihuahua,yes,Female,HILLBANK
Collie (Rough),no,Female,ELIZABETH EAST
Beagle,no,Male,ELIZABETH PARK
Cocker Spaniel,no,Male,ELIZABETH PARK
Australian Cattle Dog X,no,Male,ELIZABETH NORTH
Jack Russell Terrier,no,Male,BLAKEVIEW
Pomeranian X,no,Male,ELIZABETH GROVE
Chihuahua X,no,Male,ELIZABETH PARK
Pomeranian X,no,Male,DAVOREN PARK
Maltese,yes,Male,ELIZABETH VALE
Border Collie X,no,Male,ANDREWS FARM
Australian Cattle Dog X,no,Female,ELIZABETH EAST
Maltese X,yes,Female,CRAIGMORE
Chihuahua X,yes,Female,DAVOREN PARK
Maltese,yes,Female,ELIZABETH PARK
Chihuahua X,no,Female,CRAIGMORE
Chihuahua X,no,Female,ANGLE VALE
German Shepherd Dog,no,Female,ELIZABETH DOWNS
Chihuahua,no,Female,ANDREWS FARM
Poodle,no,Female,HILLBANK
Maltese X,yes,Female,MUNNO PARA WEST
Australian Terrier,no,Female,CRAIGMORE
Fox Terrier (Smooth),no,Male,MUNNO PARA
German Shepherd Dog,no,Female,ELIZABETH GROVE
Jack Russell Terrier,no,Female,DAVOREN PARK
Beagle,no,Female,HILLBANK
Collie (Rough Coat) X,no,Male,SMITHFIELD
Bull Terrier X,no,Male,CRAIGMORE
Rottweiler X,yes,Female,DAVOREN PARK
Maltese X,yes,Female,HILLBANK
Poodle (Miniature) X,no,Male,BIBARINGA
Poodle Standard,no,Female,HILLBANK
Lhasa Apso,no,Male,ELIZABETH DOWNS
Golden Retriever,no,Male,BLAKEVIEW
Maltese,yes,Female,ELIZABETH
Maltese X,no,Female,MUNNO PARA WEST
Maltese X,no,Male,MUNNO PARA WEST
Pointer,no,Male,HILLBANK
Chihuahua,no,Male,BLAKEVIEW
Maltese X,yes,Male,CRAIGMORE
Australian Kelpie X,yes,Female,ELIZABETH
Australian Kelpie X,yes,Female,ELIZABETH
Cocker Spaniel,yes,Female,HILLBANK
Cocker Spaniel,no,Male,ELIZABETH DOWNS
Jack Russell Terrier,yes,Female,ANDREWS FARM
Tenterfield Terrier,no,Female,CRAIGMORE
Jack Russell Terrier,no,Female,VIRGINIA
Akita,yes,Female,MUNNO PARA WEST
Spaniel,yes,Male,ELIZABETH DOWNS
Staffordshire Bull Terrier,no,Male,CRAIGMORE
Maltese X,yes,Female,ELIZABETH EAST
Tenterfield Terrier,no,Male,CRAIGMORE
Terrier X,yes,Female,CRAIGMORE
Shih Tzu X,yes,Male,ELIZABETH SOUTH
Australian Silky Terrier X,no,Male,ELIZABETH NORTH
Cocker Spaniel,yes,Female,HILLBANK
Cocker Spaniel,yes,Male,CRAIGMORE
Australian Cattle Dog,no,Male,ONE TREE HILL
Fox Terrier (Smooth),no,Male,DAVOREN PARK
Shih Tzu X,no,Female,CRAIGMORE
Maltese X,yes,Female,CRAIGMORE
Jack Russell Terrier,no,Male,ONE TREE HILL
Golden Retriever,yes,Female,ONE TREE HILL
